Date,Team,Notes,Status,Player
2020-12-01,Pacers,recovering from surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Jeremy Lamb
2020-12-19,Magic,recovering from surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Jonathan Isaac
2020-12-23,Pacers,placed on IL with recovering from surgery on left knee to repair torn ACL,Relinquished,Jeremy Lamb
2020-12-28,Nets,placed on IL with torn ACL in right knee (out for season),Relinquished,Spencer Dinwiddie
2021-01-04,Nets,surgery on right knee to repair torn ACL (out for season),Relinquished,Spencer Dinwiddie
2021-01-06,Magic,torn ACL in left knee (out for season),Relinquished,Markelle Fultz
2021-01-08,Magic,placed on IL with torn ACL in left knee (out for season),Relinquished,Markelle Fultz
2021-01-10,Wizards,torn ACL in left knee (out for season),Relinquished,Thomas Bryant
2021-01-11,Wizards,placed on IL with torn ACL in left knee (out for season),Relinquished,Thomas Bryant
2021-04-13,Nuggets,placed on IL with torn ACL in left knee (out for season),Relinquished,Jamal Murray
2021-07-07,Suns,torn ACL in right knee (out for season),Relinquished,Dario Saric
2021-07-07,Suns,placed on IL with torn ACL in right knee (out for season),Relinquished,Dario Saric
2021-10-19,Magic,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Jonathan Isaac
2021-10-19,Magic,placed on IL with recovering from surgery on left knee to repair torn ACL,Relinquished,Markelle Fultz
2021-10-19,Nuggets,placed on IL with recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Jamal Murray
2021-10-19,Suns,recovering from surgery on right knee to repair torn ACL (out for season),Relinquished,Dario Saric
2021-10-19,Wizards,placed on IL with recovering from surgery on left knee to repair torn ACL,Relinquished,Thomas Bryant
2021-11-24,Nuggets,placed on IL with torn ACL in left knee,Relinquished,P.J. Dozier
2021-12-09,Pelicans,torn ACL in right knee (out for season),Relinquished,Kira Lewis Jr.
2021-12-09,Pelicans,placed on IL with torn ACL in right knee (out for season),Relinquished,Kira Lewis Jr.
2021-12-29,Cavaliers,placed on IL with torn ACL in left knee (out for season),Relinquished,Ricky Rubio
2022-01-31,Jazz,torn ACL in left knee (out for season),Relinquished,Joe Ingles
2022-02-02,Jazz,placed on IL with torn ACL in left knee (out for season),Relinquished,Joe Ingles
2022-03-23,Pistons,surgery on left knee to repair torn ACL (out for season) (date approximate),Relinquished,(Sean) Chris Smith
2022-07-11,Pelicans,torn ACL in right knee (out for season),Relinquished,E.J. Liddell
2022-07-26,Pelicans,surgery on right knee to repair torn ACL (out for season),Relinquished,E.J. Liddell
2022-09-02,Celtics,torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
2022-09-23,Celtics,surgery on left knee to repair torn ACL (out for season),Relinquished,Danilo Gallinari
2022-10-19,Cavaliers,placed on IL recovering from torn ACL in left knee,Relinquished,Ricky Rubio
2023-08-02,76ers,torn ACL in knee (out indefinitely),Relinquished,Montrezl Harrell
2023-08-05,Nuggets,torn ACL in left knee (out for season),Relinquished,Vlatko Cancar
2023-08-17,Nuggets,surgery on left knee to repair torn ACL (out for season),Relinquished,Vlatko Cancar
2023-10-08,Celtics,torn ACL in knee (out for season),Relinquished,Jay Scrubb
2023-12-11,Spurs,placed on IL with torn ACL in left knee (out for season),Relinquished,Charles Bassey
2024-03-11,Hawks,placed on IL with torn ACL in left knee (out for season),Relinquished,Saddiq Bey
