Date,Team,Acquired,Relinquished,Notes
2000-02-15,Celtics,,Calbert Cheaney,personal reasons (DNP)
2000-02-15,Celtics,Eric Williams,,activated from IL
2000-02-15,Clippers,,Lamar Odom,left knee tendinitis (DNP)
2000-02-15,Clippers,,Tyrone Nesby,chipped bone in right big toe (DNP)
2000-02-15,Nets,,Keith Van Horn,birth of child (DNP)
2000-02-15,Nuggets,,Bryant Stith,stomach flu (DNP)
Date,Team,Acquired,Relinquished,Notes
2000-02-15,Warriors,,Antawn Jamison,strained left knee (DNP)
2000-02-16,Bucks,,Darvin Ham,placed on IL with jumper's knee
2000-02-16,Warriors,,Antawn Jamison,strained left knee (DNP)
2000-02-16,Wizards,,Reggie Jordan,placed on IL with left knee patella tendinitis
2000-02-16,Wizards,Michael Smith (John) (Providence),,activated from IL
2000-02-17,Cavaliers,,Bob Sura,sprained right big toe (DNP)
2000-02-17,Cavaliers,,Brevin Knight,tendinitis in right quadriceps (DNP)
2000-02-17,Nuggets,,George McCloud,sprained right ankle (DNP)
2000-02-17,Pacers,,Rik Smits,sore lower back (DNP)
2000-02-18,76ers,Jumaine Jones,,activated from IL
2000-02-18,76ers,Kevin Ollie,,activated from IL
2000-02-18,Blazers,,Bonzi Wells,stomach flu (DNP)
2000-02-18,Cavaliers,,Bob Sura,sprained right big toe (DNP)
2000-02-18,Cavaliers,,Brevin Knight,tendinitis in right quadriceps (DNP)
2000-02-18,Clippers,,Derek Anderson,sprained right ankle (DNP)
2000-02-18,Clippers,,Eric Murdock,sprained left ankle (DNP)
2000-02-18,Heat,,Rex Walters,stomach flu (DNP)
2000-02-18,Magic,,Chauncey Billups,placed on IR with lsurgery on eft shoulder (out for season)
2000-02-18,Magic,Derek Strong,,activated from IL
2000-02-18,Nuggets,,George McCloud,sprained right ankle (DNP)
2000-02-18,Warriors,,Antawn Jamison,strained left knee (DNP)
2000-02-19,Celtics,,Calbert Cheaney,personal reasons (DNP)
2000-02-19,Clippers,,Derek Anderson,sore lower back (DNP)
2000-02-19,Clippers,,Eric Murdock,sore left ankle (DNP)
2000-02-19,Kings,,Lawrence Funderburke,bilateral Achilles tendinitis (DTD)
Date,Team,Acquired,Relinquished,Notes
2000-02-19,Kings,,Nick Anderson,flu (DNP)
2000-02-19,Knicks,,Charlie Ward,placed on IL with fractured right pinky
2000-02-19,Mavericks,,Shawn Bradley,blurred vision (DTD)
2000-02-19,Pacers,,Rik Smits,sore lower back (DNP)
2000-02-19,Timberwolves,,Sam Mitchell,sprained left ankle (DTD)
2000-02-20,Heat,,Rex Walters,placed on IL with back spasms
2000-02-20,Heat,Dan Majerle,,activated from IL
2000-02-20,Kings,,Lawrence Funderburke,Achilles tendinitis (DNP)
2000-02-20,Kings,,Nick Anderson,flu (DNP)
2000-02-20,Mavericks,,Shawn Bradley,blurred vision (DNP)
2000-02-20,Rockets,,Kelvin Cato,placed on IL with sprained left ankle
2000-02-20,Rockets,Carlos Rogers,,activated from IL
2000-02-20,Timberwolves,,Sam Mitchell,sprained left ankle (DNP)
